pais,codigo,indicador,codigo_indicador,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Perú,PER,Homicidios intencionales (por cada 100.000 habitantes),VC.IHR.PSRC.P5,,5.4,6.5,6.6,6.7,7.2,7.7,7.7,,
Perú,PER,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,9,11,11.1,11.2,11.7,12.1,13.9,,
Perú,PER,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,1.9,2.1,2,2.2,2.6,3.3,1.6,,
Perú,PER,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,150000,150000,150000,150000,150000,60000,62000,59000,59000,60000
Perú,PER,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,10000,2700,184000,28000,950,8400,17000,295000,8600,10000
Perú,PER,Servicios de viaje (% de las exportaciones de servicios comerciales),TX.VAL.TRVL.ZS.WT,64.09989315,66.09932806,60.33525933,59.77504324,55.90775032,57.02059417,58.31421649,54.19778635,57.31533595,
Perú,PER,Servicios de transporte (% de las exportaciones de servicios comerciales),TX.VAL.TRAN.ZS.WT,27.26356128,29.03396845,30.20120819,30.373228,25.0670216,23.70507558,22.3278103,21.65911445,23.38841885,
Perú,PER,Exportaciones de productos de alta tecnología (% de las exportaciones de productos manufacturados),TX.VAL.TECH.MF.ZS,6.955211082,6.542134017,3.81394382,4.102054618,4.242552255,5.398337951,4.80072392,5.022641793,4.566489448,
Perú,PER,Exportaciones de productos de alta tecnología (US$ a precios actuales),TX.VAL.TECH.CD,267465444,322872161,202759364,203768303,206109067,224263734,187310528,212444388,210478636,
Perú,PER,Exportaciones de servicios comerciales (US$ a precios actuales),TX.VAL.SERV.CD.WT,3132764801,3422210102,4048435631,5018142710,5504368405,5803476826,5977857764,6845298883,6886837804,
Perú,PER,"Computación, comunicaciones y otros servicios (% de las exportaciones de servicios comerciales)",TX.VAL.OTHR.ZS.WT,1.461989358,-3.819184627,-0.985473679,0.513067023,7.975269662,6.936028422,8.700733952,5.737182683,8.338825278,
Perú,PER,Índice de valor de exportación (2000 = 100),TX.VAL.MRCH.XD.WD,514.7885568,666.8089388,681.6854136,616.2644316,568.4140111,494.830271,533.1772805,653.0925634,705.5159592,
Perú,PER,Mercaderías exportadas hacia economías en desarrollo dentro de la región (% del total de mercaderías exportadas),TX.VAL.MRCH.WR.ZS,12.11924659,12.19969381,13.1967871,14.22401705,16.22852802,13.6431341,13.46189829,10.74567727,10.74449016,
Perú,PER,Mercaderías exportadas por la economía informante (US$ actuales),TX.VAL.MRCH.WL.CD,34909309879,45855380925,45497984589,41895174168,38365263000,33175474980,37019780721,44280029076,47818941638,
Perú,PER,"Mercaderías exportadas por la economía informante, excedente (% del total de mercaderías exportadas)",TX.VAL.MRCH.RS.ZS,0.735127208,0.662313846,0.886570563,0.574224241,0.481177212,0.286499916,0.517987968,0.529578832,0.518854746,
